DirectionFrom,DirectionTo,Distance,ETARouteName,LastTrackdt,Odometer,PrevTrackDt,RouteNo,Speed,VehId,VehNo,location.coordinates,location.type,routeflag
मिरारोड स्टे.,लोकमान्यनगर,0,मिरारोड स्टे. - लोकमान्यनगर,2022-09-25T10:48:09.000Z,10075.166,2022-09-24T11:02:35.000Z,23,0,101,MH04-HY-1753,"[72.976936,19.187065]",Point,true
मिरारोड स्टे.,लोकमान्यनगर,0,मिरारोड स्टे. - लोकमान्यनगर,2022-09-25T10:49:09.000Z,10075.166,2022-09-24T11:02:35.000Z,23,5,101,MH04-HY-1753,"[72.975876,19.186687]",Point,true
मिरारोड स्टे.,लोकमान्यनगर,0,मिरारोड स्टे. - लोकमान्यनगर,2022-09-25T10:50:09.000Z,10075.166,2022-09-24T11:02:35.000Z,23,0,101,MH04-HY-1753,"[72.975349,19.186855]",Point,true
ठाणे स्टेशन,आनंदनगर आगार,0,ठाणे स्टेशन - आनंदनगर आगार,2022-09-25T18:21:33.000Z,10075.166,2022-09-24T11:02:35.000Z,0,0,101,MH04-HY-1753,"[72.969589,19.265423]",Point,true
ठाणे स्टेशन,आनंदनगर आगार,0,ठाणे स्टेशन - आनंदनगर आगार,2022-09-25T18:23:33.000Z,10075.166,2022-09-24T11:02:35.000Z,0,0,101,MH04-HY-1753,"[72.969589,19.265423]",Point,true
ठाणे स्टेशन,आनंदनगर आगार,0,ठाणे स्टेशन - आनंदनगर आगार,2022-09-25T18:24:33.000Z,10075.166,2022-09-24T11:02:35.000Z,0,0,101,MH04-HY-1753,"[72.969589,19.265423]",Point,true
ठाणे स्टेशन,आनंदनगर आगार,0,ठाणे स्टेशन - आनंदनगर आगार,2022-09-25T18:25:33.000Z,10075.166,2022-09-24T11:02:35.000Z,0,0,101,MH04-HY-1753,"[72.969589,19.265423]",Point,true
ठाणे स्टेशन,आनंदनगर आगार,0,ठाणे स्टेशन - आनंदनगर आगार,2022-09-25T18:26:33.000Z,10075.166,2022-09-24T11:02:35.000Z,0,12,101,MH04-HY-1753,"[72.969711,19.265377]",Point,true
ठाणे स्टेशन,आनंदनगर आगार,0,ठाणे स्टेशन - आनंदनगर आगार,2022-09-25T18:27:34.000Z,10075.166,2022-09-24T11:02:35.000Z,0,5,101,MH04-HY-1753,"[72.969788,19.265171]",Point,true
ठाणे स्टेशन,आनंदनगर आगार,0,ठाणे स्टेशन - आनंदनगर आगार,2022-09-25T18:28:34.000Z,10075.166,2022-09-24T11:02:35.000Z,0,0,101,MH04-HY-1753,"[72.96981,19.265127]",Point,true
ठाणे स्टेशन,आनंदनगर आगार,0,ठाणे स्टेशन - आनंदनगर आगार,2022-09-25T18:29:33.000Z,10075.166,2022-09-24T11:02:35.000Z,0,0,101,MH04-HY-1753,"[72.969795,19.26511]",Point,true
ठाणे स्टेशन,आनंदनगर आगार,0,ठाणे स्टेशन - आनंदनगर आगार,2022-09-25T18:30:33.000Z,10075.166,2022-09-24T11:02:35.000Z,0,0,101,MH04-HY-1753,"[72.969841,19.265013]",Point,true
ठाणे स्टेशन,आनंदनगर आगार,0,ठाणे स्टेशन - आनंदनगर आगार,2022-09-25T18:31:33.000Z,10075.166,2022-09-24T11:02:35.000Z,0,0,101,MH04-HY-1753,"[72.969742,19.264662]",Point,true
ठाणे स्टेशन,आनंदनगर आगार,0,ठाणे स्टेशन - आनंदनगर आगार,2022-09-25T18:32:33.000Z,10075.166,2022-09-24T11:02:35.000Z,0,14,101,MH04-HY-1753,"[72.968376,19.263983]",Point,true
ठाणे स्टेशन,आनंदनगर आगार,0,ठाणे स्टेशन - आनंदनगर आगार,2022-09-25T18:33:33.000Z,10075.166,2022-09-24T11:02:35.000Z,0,0,101,MH04-HY-1753,"[72.968178,19.263935]",Point,true
ठाणे स्टेशन,आनंदनगर आगार,0,ठाणे स्टेशन - आनंदनगर आगार,2022-09-25T18:34:34.000Z,10075.166,2022-09-24T11:02:35.000Z,0,23,101,MH04-HY-1753,"[72.968399,19.263172]",Point,true
ठाणे स्टेशन,आनंदनगर आगार,0,ठाणे स्टेशन - आनंदनगर आगार,2022-09-25T18:35:34.000Z,10075.166,2022-09-24T11:02:35.000Z,0,0,101,MH04-HY-1753,"[72.968559,19.262609]",Point,true
ठाणे स्टेशन,आनंदनगर आगार,0,ठाणे स्टेशन - आनंदनगर आगार,2022-09-25T18:36:34.000Z,10075.166,2022-09-24T11:02:35.000Z,0,0,101,MH04-HY-1753,"[72.968559,19.262609]",Point,true
ठाणे स्टेशन,आनंदनगर आगार,0,ठाणे स्टेशन - आनंदनगर आगार,2022-09-25T18:39:44.000Z,10075.166,2022-09-24T11:02:35.000Z,0,0,101,MH04-HY-1753,"[72.968575,19.262552]",Point,true
ठाणे स्टेशन,आनंदनगर आगार,0,ठाणे स्टेशन - आनंदनगर आगार,2022-09-25T18:40:44.000Z,10075.166,2022-09-24T11:02:35.000Z,0,13,101,MH04-HY-1753,"[72.972702,19.252363]",Point,true
ठाणे स्टेशन,आनंदनगर आगार,0,ठाणे स्टेशन - आनंदनगर आगार,2022-09-25T18:41:44.000Z,10075.166,2022-09-24T11:02:35.000Z,0,36,101,MH04-HY-1753,"[72.974281,19.249348]",Point,true
ठाणे स्टेशन,आनंदनगर आगार,0,ठाणे स्टेशन - आनंदनगर आगार,2022-09-25T18:42:44.000Z,10075.166,2022-09-24T11:02:35.000Z,0,0,101,MH04-HY-1753,"[72.975906,19.246012]",Point,true
ठाणे स्टेशन,आनंदनगर आगार,0,ठाणे स्टेशन - आनंदनगर आगार,2022-09-25T18:43:44.000Z,10075.166,2022-09-24T11:02:35.000Z,0,22,101,MH04-HY-1753,"[72.975937,19.242237]",Point,true
ठाणे स्टेशन,आनंदनगर आगार,0,ठाणे स्टेशन - आनंदनगर आगार,2022-09-25T18:44:44.000Z,10075.166,2022-09-24T11:02:35.000Z,0,15,101,MH04-HY-1753,"[72.975868,19.241592]",Point,true
ठाणे स्टेशन,आनंदनगर आगार,0,ठाणे स्टेशन - आनंदनगर आगार,2022-09-25T18:45:44.000Z,10075.166,2022-09-24T11:02:35.000Z,0,22,101,MH04-HY-1753,"[72.975723,19.239342]",Point,true
ठाणे स्टेशन,आनंदनगर आगार,0,ठाणे स्टेशन - आनंदनगर आगार,2022-09-25T18:46:44.000Z,10075.166,2022-09-24T11:02:35.000Z,0,14,101,MH04-HY-1753,"[72.976082,19.236521]",Point,true
ठाणे स्टेशन,आनंदनगर आगार,0,ठाणे स्टेशन - आनंदनगर आगार,2022-09-25T18:47:44.000Z,10075.166,2022-09-24T11:02:35.000Z,0,15,101,MH04-HY-1753,"[72.976189,19.235474]",Point,true
ठाणे स्टेशन,आनंदनगर आगार,0,ठाणे स्टेशन - आनंदनगर आगार,2022-09-25T18:48:45.000Z,10075.166,2022-09-24T11:02:35.000Z,0,27,101,MH04-HY-1753,"[72.976402,19.233624]",Point,true
ठाणे स्टेशन,आनंदनगर आगार,0,ठाणे स्टेशन - आनंदनगर आगार,2022-09-25T18:49:45.000Z,10075.166,2022-09-24T11:02:35.000Z,0,0,101,MH04-HY-1753,"[72.976883,19.230127]",Point,true
ठाणे स्टेशन,आनंदनगर आगार,0,ठाणे स्टेशन - आनंदनगर आगार,2022-09-25T18:50:45.000Z,10075.166,2022-09-24T11:02:35.000Z,0,30,101,MH04-HY-1753,"[72.977074,19.227985]",Point,true
